title,artist,genre,added,bpm,energy,dance, dB,live,val,duration,acoustic,spch,pop,daily
Melek,Reynmen,turkish hip hop,1970‑01‑01,180,64,57,-5,24,28,155,15,6,80,235.590
Seni dert etmeler,Madrigal,turkish alt pop,1970‑01‑01,88,61,55,-11,33,88,189,15,3,77,207.925
Kusura bakma,Tuğkan,,1970‑01‑01,124,26,44,-17,14,59,156,74,4,71,189.790
Allahından bul,Ezhel,turkish hip hop,1970‑01‑01,108,49,89,-7,10,52,181,20,6,78,181.019
Bir sebebi var,İkilem,turkish alt pop,1970‑01‑01,80,53,77,-8,9,68,210,38,3,72,167.823
Islak kum,Contra,turkish hip hop,1970‑01‑01,96,61,52,-6,8,30,187,137,19,75,164.660
Huyu suyu,Emir Taha,turkish trap pop,1970‑01‑01,156,37,74,-13,28,33,154,48,14,77,144.330
Hasbelkader,Bilal Sonses,turkish trap pop,1970‑01‑01,132,64,77,-5,10,71,153,15,6,74,133.801
Dunyadan uzak,Pinhani,oyun havasi,1970‑01‑01,103,54,58,-8,8,35,247,3,3,74,132.896
Makina,UZI,turkish trap pop,1970‑01‑01,110,65,77,-7,12,26,212,51,,72,131.458
Unutulacak dunler,Gazapizm,turkish hip hop,1970‑01‑01,180,83,63,-7,13,69,296,7,18,74,120.585
Optum nefesinden,Mustafa Ceceli,turkish pop,1970‑01‑01,117,66,72,-4,17,48,167,39,4,70,117.617
NAZAR,BEGE,turkish hip hop,1970‑01‑01,77,57,79,-7,12,65,189,10,9,74,114.736
Kafamda kentsel donusumler,Ikiye On Kala,turkish rock,1970‑01‑01,87,54,68,-11,7,75,181,19,6,71,111.148
Bos yapma,Zeynep Bastik,turkish pop,1970‑01‑01,85,62,79,-10,13,60,148,19,8,68,111.077
HARMAN,BEGE,turkish hip hop,1970‑01‑01,140,59,69,-7,7,31,141,4,9,74,107.100
Yildizlara bak,Yasli Amca,turkish alternative rock,1970‑01‑01,165,62,51,-6,8,27,241,33,4,72,106.347
Devam,Gentleman,cologne hip hop,1970‑01‑01,135,51,77,-6,14,57,164,23,16,77,103.167
Birakman dogru mu 2,Zeynep Bastik,turkish hip hop,1970‑01‑01,88,56,70,-9,29,49,202,70,11,74,102.891
Toy,Mabel Matiz,karadeniz halk muzigi,1970‑01‑01,98,63,52,-8,11,31,195,1,6,73,95.815
Sallan,Xir,turkish hip hop,1970‑01‑01,160,61,60,-5,8,39,195,12,20,72,92.400
Uzunlar- V1,Evdeki Saat,turkish alt pop,1970‑01‑01,170,59,56,-10,6,97,282,18,4,71,90.400
Dunyadan uzak,Sakiler,,1970‑01‑01,95,54,54,-8,8,46,218,36,3,59,90.315
Uzak ol,Diyar Pala,turkish hip hop,1970‑01‑01,102,51,39,-10,10,23,178,34,13,72,87.105
Olumun kuzeni,ceg,turkish hip hop,1970‑01‑01,140,49,50,-8,11,12,119,6,5,70,86.599
Dargin,Zeynep Bastik,turkish pop,1970‑01‑01,172,62,35,-10,10,38,242,5,4,71,84.626
Beni kendinden kurtar,Perdenin Ardindakiler,turkish alt pop,1970‑01‑01,156,31,46,-9,11,24,206,61,3,70,81.928
Ben gibi bakmaz,Lia Shine,turkish hip hop,1970‑01‑01,120,58,72,-9,14,13,211,6,5,70,77.536
First Class,ceg,turkish hip hop,1970‑01‑01,133,49,83,-8,15,18,207,5,17,61,77.295
Birakma kendini,Kaan Bosnak ,turkish rock,1970‑01‑01,104,57,65,-11,7,58,241,41,3,70,76.340
Nimet,Didomido,,1970‑01‑01,130,62,72,-6,19,36,137,25,4,71,74.889
Kazili kuyum,yuzyuzeyken konusuruz,turkish alternative rock,1970‑01‑01,90,65,62,-9,8,88,209,26,3,70,73.334
Ben elimi sana verdim,MERO,german hip hop,1970‑01‑01,162,86,64,-6,66,43,183,6,21,61,72.942
Kalbinde birileri var,Perdenin Ardindakiler,turkish alt pop,1970‑01‑01,98,64,76,-7,9,55,139,3,13,69,72.165
Dua,Gunes,turkish trap pop,1970‑01‑01,100,73,78,-7,16,15,179,25,4,66,71.127
Bİr sonraki hayatimda gel,Murda,basshall,1970‑01‑01,104,45,93,-4,10,74,167,3,14,67,69.793
Sar bu sehri,Canozan,turkish alt pop,1970‑01‑01,189,29,35,-11,10,12,204,86,4,70,69.420
Sana ne ,Bedo,turkish hip hop,1970‑01‑01,95,51,57,-10,9,36,216,13,5,72,69.063
Kordugum,Tugce Kandemir,turkish trap pop,1970‑01‑01,100,42,67,-11,13,23,149,34,11,71,68.687
Yagmurlar,Anıl Piyancı,turkish hip hop,1970‑01‑01,115,69,71,-6,35,22,238,6,5,70,68.507
Turkish nightmare,Eko Fresh,cologne hip hop,1970‑01‑01,91,67,63,-6,15,48,243,21,29,66,67.871
Blinding lights,The weeknd,canadian contemporary r&b,1970‑01‑01,171,73,51,-6,9,33,200,0,6,97,66.926
Kucuk bir yol,Hadise,turkish pop,1970‑01‑01,112,66,56,-6,15,42,281,1,3,70,65.900
Therefore I am ,Billie Eillish,electropop,1970‑01‑01,94,34,89,-8,6,72,174,22,7,96,64.541
Alev alev,Zen-G,turkish hip hop,1970‑01‑01,122,87,77,-5,20,80,175,17,5,69,62.574
Nirvana ,Gulsen,deep turkish pop,1970‑01‑01,98,64,76,-7,9,55,139,3,13,69,62.538
Whoopty,CJ,,1970‑01‑01,140,60,71,-8,15,74,123,19,18,94,62.348
Sarilirim birine,Adamlar,turkish rock,1970‑01‑01,130,71,63,-8,25,33,393,19,3,68,61.602
LINK UP,Ezhel,turkish hip hop,1970‑01‑01,140,60,85,-6,15,50,194,40,15,70,60.620
Yanginlar,Canbay&Wolker,turkish hip hop,1970‑01‑01,105,72,82,-6,10,13,177,41,18,69,60.174
